TRACT2020,H202010020,H202010030,H202020010,H202020012,H202020020,H202020040,H202021010,H202030011,H202033010,H202033025,H202060010,H202062010,H202070010,H202070020,H202070030,H202070040,H202070070,H202072010,H202072020,H202081011,H202090012,H202090093,H202091012,H202091093,H202092021
48029191006,6791,2128,0.26952,0.11325,0.08184,109700,0.40926,0.27162,0.16447,0.10131,0.95008,0.17205,0.01904,0.0,0.09945,0.4693,0.98392,0.13581,0.10267,0.33694,0.992,0.899,4,4,1.0
48029181404,5039,2557,0.26679,0.04341,0.03397,155100,0.03868,0.17247,0.06766,0.05001,0.67712,0.01755,0.0,0.00814,0.18541,0.95178,0.69067,0.13375,0.01692,0.03168,0.635,0.576,3,3,1.0
48113014203,2940,984,0.03435,0.02134,0.07706,191500,0.18595,0.21037,0.16362,0.06327,0.61633,0.12636,0.0185,0.0017,0.08973,0.39148,0.96762,0.04472,0.00794,0.1311,0.792,0.674,4,4,1.0
48113014204,2516,647,0.20742,0.00927,0.03796,278200,0.22628,0.08037,0.06801,0.0624,0.64348,0.04663,0.0,0.29014,0.0107,0.79955,0.80887,0.19165,0.01981,0.11283,0.664,0.591,3,3,1.0
48141010346,5410,1548,0.16086,0.04134,0.03884,114400,0.40703,0.2022,0.17054,0.06322,0.95545,0.17088,0.08165,0.0,0.04972,0.10795,0.67956,0.04651,0.01007,0.18346,0.746,0.642,3,3,1.0
48141000208,5084,1482,0.16267,0.00675,0.04095,97500,0.17616,0.12483,0.2193,0.11408,0.87293,0.09147,0.16278,0.0,0.03891,0.44945,0.60895,0.02227,0.0212,0.16869,0.733,0.635,3,3,1.0
48141003402,6267,2286,0.34963,0.11374,0.04831,94900,0.33853,0.29746,0.18023,0.0442,0.93538,0.17596,0.0,0.02633,0.11975,0.48656,0.89757,0.17892,0.02464,0.32852,0.958,0.826,4,4,1.0
48141010222,1800,581,0.31222,0.11188,0.06152,72900,0.27802,0.34251,0.18933,0.10167,0.80611,0.25417,0.54046,0.0,0.11298,0.19278,0.91298,0.0241,0.0,0.24269,0.864,0.728,4,4,1.0
48141010220,5632,1810,0.24609,0.05635,0.01946,132800,0.34644,0.17956,0.14199,0.11452,0.90838,0.25887,0.15264,0.0,0.08816,0.25515,0.53804,0.05249,0.00275,0.21326,0.828,0.702,4,4,1.0
48141010211,2829,1024,0.01591,0.00781,0.03492,216200,0.02268,0.12207,0.00879,0.07317,0.65889,0.01793,0.0,0.0,0.03214,0.1269,0.4896,0.0,0.0,0.03027,0.028,0.147,1,1,1.0
