BG2020,H202010020,H202010030,H202020010,H202020012,H202020020,H202020040,H202021010,H202030011,H202033010,H202033025,H202060010,H202062010,H202070010,H202070020,H202070030,H202070040,H202070070,H202072010,H202072020,H202081011,H202090012,H202090093,H202091012,H202091093,H202092021
482150231033,1257,296,0.0,0.0,0.0,130100,0.41805,0.0,0.20946,0.09706,1.0,0.09604,0.33851,0.0,0.08075,0.12808,0.35093,0.0,0.0,0.11149,0.276,0.365,2,2,1.0
482150231042,2139,538,0.34783,0.13569,0.17056,137700,0.35763,0.35874,0.28253,0.12482,0.98925,0.12874,0.0,0.0,0.12662,0.50304,0.75,0.11152,0.01792,0.23048,0.995,0.896,4,4,1.0
482150231052,1445,435,0.20346,0.02299,0.11888,-1,0.38259,0.36552,0.08736,0.00692,0.99308,0.25157,0.0,0.0,0.09563,0.36471,1.0,0.17701,0.0,0.21609,0.816,0.678,4,4,1.0
482150231061,1615,457,0.0904,0.06565,0.3711,181300,0.59698,0.20569,0.0,0.00805,1.0,0.11298,0.11265,0.0,0.09684,0.0,0.82806,0.06565,0.0,0.56455,0.618,0.551,3,3,1.0
482150235162,1835,529,0.46703,0.12098,0.13931,114200,0.39549,0.33837,0.07183,0.15531,0.97602,0.21935,0.12724,0.0,0.05197,0.32643,0.71864,0.02836,0.0,0.5482,0.915,0.76,4,4,1.0
482150235163,1589,352,0.44745,0.0,0.08367,173400,0.46203,0.09091,0.22727,0.19824,1.0,0.19545,0.35644,0.0,0.12871,0.2832,0.49752,0.0,0.0,0.24716,0.636,0.562,3,3,1.0
482150235171,1034,220,0.35493,0.0,0.0,399500,0.28571,0.21818,0.34545,0.04159,0.95261,0.10696,0.17288,0.0,0.25424,0.05416,1.0,0.15,0.0,0.25,0.75,0.632,3,3,1.0
482150235172,1402,275,0.10628,0.04364,0.17544,134300,0.40025,0.34182,0.17091,0.16262,0.98146,0.15417,0.03374,0.0,0.15644,0.0,0.68098,0.06545,0.0,0.55636,0.893,0.741,4,4,1.0
482150235173,1297,367,0.266,0.15531,0.0,117900,0.53207,0.15531,0.0,0.13878,1.0,0.31513,0.11765,0.0,0.22899,0.38396,0.53992,0.08719,0.0,0.77112,0.823,0.684,4,4,1.0
482150235182,1531,347,0.5049,0.0,0.0,104000,0.17257,0.17867,0.13545,0.15415,0.96669,0.09035,0.47901,0.0,0.14321,0.25669,0.67407,0.12968,0.0,0.2219,0.757,0.637,4,4,1.0
482150235183,3169,1159,0.15331,0.01294,0.08235,130100,0.08541,0.02675,0.21225,0.08173,0.96276,0.04639,0.0,0.0,0.08668,0.46734,0.28448,0.05091,0.0,0.04918,0.651,0.571,3,3,1.0
482150235184,694,294,0.12536,0.0,0.0,78700,0.06416,0.08503,0.2483,0.0,0.88761,0.0,0.0,0.0,0.0,0.06916,0.35714,0.0,0.0,0.08503,0.039,0.159,1,1,1.0
482150235185,598,143,0.02508,0.0,0.0,-1,0.34021,0.32867,0.01399,0.0,0.77425,0.09365,0.11189,0.0,0.0,0.17893,0.45455,0.0,0.0,0.0,0.091,0.227,1,1,1.0
482150235191,1197,274,0.14871,0.0,0.0,-1,0.07388,0.0,0.0,0.20718,0.90643,0.08325,0.0,0.0,0.0,0.14871,0.25182,0.0,0.0,0.13869,0.082,0.217,1,1,1.0
482150235192,1439,346,0.66997,0.0,0.20335,299300,0.51329,0.19942,0.0,0.02363,0.96386,0.30391,0.1737,0.0,0.14144,0.29673,0.54839,0.06647,0.0,0.20231,0.587,0.533,3,3,1.0
482150235211,31,31,0.0,0.0,0.0,108800,0.0,0.0,0.0,0.0,1.0,0.0,0.78443,0.0,0.81437,0.0,0.68263,0.0,0.0,1.0,0.02,0.117,1,1,1.0
482150235212,2057,597,0.17939,0.09715,0.10857,50000,0.54573,0.20771,0.06533,0.06077,0.99271,0.27381,0.29983,0.0,0.0,0.26446,0.83585,0.15243,0.0,0.55276,0.843,0.7,4,4,1.0
482150235221,1179,454,0.20865,0.12775,0.0,-1,0.35649,0.27974,0.09251,0.06701,0.9788,0.09273,0.7911,0.0,0.2226,0.17557,0.69863,0.0,0.0,0.3304,0.64,0.565,3,3,1.0
482150235222,2773,665,0.33538,0.0,0.06985,350000,0.1512,0.01203,0.1594,0.05734,0.78255,0.05394,0.0,0.0,0.0,0.34439,0.30977,0.0,0.0,0.03308,0.218,0.329,1,1,1.0
482150235233,858,213,0.16783,0.0,0.1281,228000,0.31362,0.06573,0.15493,0.18881,1.0,0.49713,0.17121,0.0,0.17121,0.28671,0.46693,0.0,0.0,0.55869,0.598,0.539,3,3,1.0
482150235242,981,260,0.0,0.0,0.0,282400,0.02236,0.0,0.08077,0.21305,0.91131,0.0,0.02532,0.0,0.17722,0.24771,0.22785,0.0,0.0,0.09231,0.12,0.255,1,1,1.0
482150235251,1800,358,0.38556,0.0,0.06133,363400,0.43268,0.0,0.10615,0.06611,0.98833,0.1856,0.22133,0.0,0.04533,0.38556,0.40267,0.0,0.0,0.58659,0.432,0.45,2,2,1.0
482150235252,1776,426,0.44651,0.07746,0.14537,-1,0.58542,0.28404,0.26291,0.09628,1.0,0.15701,0.28539,0.0,0.0427,0.10135,0.85169,0.12676,0.0,0.47887,0.958,0.807,4,4,1.0
482150235261,758,240,0.04222,0.13333,0.0,356400,0.65393,0.24583,0.0,0.0,0.92216,0.15435,0.13333,0.0,0.0,0.1372,0.94583,0.0,0.0,0.13333,0.303,0.381,2,2,1.0
482150235262,1588,442,0.33627,0.0,0.05017,282000,0.20897,0.0,0.37783,0.16058,1.0,0.11628,0.17647,0.0,0.0,0.11398,0.43891,0.0,0.0,0.17873,0.409,0.439,2,2,1.0
482150235263,1065,221,0.28545,0.0,0.18304,-1,0.39847,0.0905,0.30317,0.0,1.0,0.09484,0.39367,0.0,0.0,0.44131,0.34389,0.0,0.0,0.33937,0.432,0.45,2,2,1.0
482150235271,1870,418,0.33636,0.10287,0.0,265400,0.64558,0.10287,0.01914,0.07807,0.98289,0.33875,0.39785,0.0,0.10108,0.09947,0.50753,0.0,0.0,0.16986,0.471,0.471,2,2,1.0
482150235273,1033,230,0.17425,0.0,0.0,156800,0.34812,0.05652,0.46087,0.15489,0.96321,0.27606,0.33754,0.0,0.27445,0.03969,0.50473,0.05217,0.0,0.56957,0.685,0.591,3,3,1.0
482150235281,1525,371,0.31148,0.07817,0.37004,234300,0.24177,0.11051,0.22911,0.10689,1.0,0.10279,0.14683,0.0,0.26389,0.1659,0.8869,0.04313,0.0,0.56873,0.903,0.749,4,4,1.0
482150235283,1855,479,0.34771,0.0,0.1732,258800,0.54054,0.20459,0.0,0.22749,0.99299,0.46127,0.56371,0.0,0.07529,0.22372,0.56564,0.13361,0.0,0.86639,0.754,0.635,4,4,1.0
