BG2020,U202020010,U202020013,U202020020,U202020031,U202020033,U202020040,U202020070,U202021010,U202030020,U202030030,U202033010,U202060021,U202060022,U202060023,U202060024,U202062010,U202065010,U202065015,U202065017,U202070010,U202070030,U202070040,U202070060,U202072010,U202020050,U202081021,U202081022,U202090012
481130010022,0.04647,0.11828,0.03666,-80650,-0.31183,-500000,1449,0.1019,0.65326,31.3,0.19048,0.0,0.0134,0.01251,0.23771,0.07097,0.40751,0.0,0.44357,0.0,0.08284,0.35914,2.41,0.11613,0.10845,0.11811,0.0,0.04724
481576744041,0.07097,0.10836,0.05213,-47294,-0.33204,-449300,1898,0.05637,0.66213,36.4,0.13367,0.0,0.18955,0.5935,0.09775,0.05403,0.49873,0.01935,0.4945,0.0278,0.0293,0.04025,3.64,0.00851,0.01857,0.06995,0.01628,0.04718
481130190425,0.0,0.0,0.0,-52088,-0.0,-333659,1391,0.0,0.44231,28.8,,0.0,0.41758,0.22802,0.0,0.0,0.44231,0.11374,0.44231,0.0,0.0,1.0,1.73,0.0,0.06587,0.43681,0.0,0.04713
480396607073,0.0,0.12719,0.0,-52152,-0.0,-218100,1779,0.0,0.48866,50.5,0.0,0.0,0.0,0.09691,0.0,0.0,0.3732,0.0,0.24621,0.0,0.0,0.0,2.13,0.0,0.11775,0.0,0.0,0.04707
482014105023,0.0,0.11679,0.0,-65993,-0.05596,-377100,936,0.0,0.50917,36.1,0.0,0.0,0.02599,0.0,0.15596,0.0,0.36086,0.0,0.36902,0.0,0.15432,0.62287,1.59,0.06083,0.06197,0.07457,0.0,0.04702
482013131012,0.07895,0.03887,0.0,-84442,-0.25795,-575500,1608,0.03571,0.72096,27.7,0.39344,0.0,0.04948,0.14433,0.04674,0.01207,0.54433,0.06537,0.51966,0.0,0.08117,0.72615,2.19,0.0,0.04346,0.11179,0.0,0.04696
484530338003,0.0,0.35962,0.0,-66129,-0.45899,-537600,3000,0.01651,0.79782,43.2,0.0,0.0,0.01661,0.22337,0.12658,0.00627,0.49026,0.01262,0.45349,0.0,0.0,0.03785,2.75,0.0,0.00584,0.0155,0.0,0.04691
480850305071,0.03684,0.13366,0.04735,-50572,-0.22866,-367100,2307,0.01217,0.62158,39.9,0.07187,0.00158,0.02158,0.15474,0.22263,0.0057,0.48263,0.04187,0.47117,0.0,0.04608,0.11755,3.06,0.01127,0.05954,0.10835,0.00696,0.04686
483671407102,0.0,0.07797,0.0,-62855,-0.45809,-446300,1267,0.00519,0.66367,37.4,0.275,0.00321,0.05199,0.0,0.07253,0.0,0.55392,0.18908,0.4765,0.07491,0.10627,0.03314,3.04,0.03899,0.05336,0.13708,0.00653,0.0468
481130071025,0.0273,0.32,0.03929,-70844,-0.19,-304500,2964,0.0,0.59305,49.8,0.30435,0.11911,0.0,0.0,0.07444,0.0,0.3598,0.07,0.18959,0.0,0.42693,0.465,2.02,0.0,0.16461,0.0,0.0,0.04675
484910204082,0.02934,0.18654,0.07168,-40503,-0.06732,-291000,1313,0.06711,0.42472,33.0,0.0,0.0,0.01347,0.09476,0.33718,0.01457,0.2963,0.01403,0.24738,0.0,0.07403,0.35764,2.92,0.02665,0.13967,0.01949,0.02174,0.04669
483396920091,0.01833,0.06667,0.0153,-48074,-0.26369,-278700,1841,0.02436,0.66217,32.3,0.04472,0.0,0.07883,0.07083,0.15717,0.00518,0.504,0.01667,0.46437,0.0,0.0,0.05119,3.57,0.0,0.02213,0.09287,0.04694,0.04664
481130080006,0.02151,0.2298,0.0,-81390,-0.48115,-670500,1822,0.0,0.81653,41.0,0.05498,0.0,0.03226,0.10215,0.06048,0.01199,0.55309,0.0772,0.45738,0.0,0.07781,0.04309,2.67,0.0,0.01338,0.0,0.0,0.04658
484659508023,0.02513,0.13589,0.0,-69873,-0.26829,-309300,1676,0.0,0.63317,32.6,0.0,0.0,0.0,0.0,0.28308,0.0,0.42044,0.13589,0.22568,0.2087,0.37609,0.3554,2.08,0.0,0.06926,0.25681,0.11673,0.04653
481677205053,0.0,0.17136,0.0,-47115,-0.09624,-265400,1917,0.00755,0.61306,35.6,0.0,0.0,0.32723,0.01513,0.0,0.00995,0.41322,0.0,0.53867,0.0,0.0,0.1338,2.95,0.01174,0.05911,0.06242,0.0,0.04648
484910206082,0.0,0.21173,0.20186,-41456,-0.16287,-315300,2019,0.05012,0.54789,34.7,0.4232,0.0,0.05457,0.26913,0.12895,0.05185,0.40503,0.12215,0.43007,0.0,0.0,0.12541,3.04,0.0,0.0327,0.09907,0.0,0.04642
481576746024,0.0,0.083,0.0,-36858,-0.25911,-336800,2310,0.0,0.66509,34.1,0.06112,0.0,0.23821,0.07406,0.13443,0.03959,0.51226,0.01215,0.39841,0.0,0.0,0.03239,4.29,0.0081,0.07231,0.02157,0.0,0.04637
