TRACT2020,U202020010,U202020013,U202020020,U202020031,U202020033,U202020040,U202020070,U202021010,U202030020,U202030030,U202033010,U202060021,U202060022,U202060023,U202060024,U202062010,U202065010,U202065015,U202065017,U202070010,U202070030,U202070040,U202070060,U202072010,U202020050,U202081021,U202081022,U202090012
48429950300,0.1448,0.46667,0.20047,-24313,-0.01364,-51600,315,0.27187,0.791,43.6,0.47867,0.0,0.03785,0.01207,0.26111,0.0,0.51563,0.22576,0.49854,0.07019,0.28726,0.24394,2.68,0.07424,0.19627,0.32362,0.01603,0.86462
48499950602,0.09532,0.54849,0.038,-43671,-0.118,-164500,1256,0.09457,1.02682,60.8,0.12914,0.00414,0.0,0.0,0.05631,0.00275,0.57533,0.02263,0.41481,0.15774,0.31915,0.08836,2.21,0.03448,0.08386,0.08148,0.09053,0.86447
48469000201,0.36639,0.23864,0.08983,-15521,-0.02098,-78600,845,0.38986,0.71475,34.7,0.54491,0.0,0.05151,0.0367,0.78139,0.0779,0.52125,0.22203,0.46444,0.0473,0.15447,0.39161,2.7,0.09003,0.21206,0.3164,0.07837,0.86432
48375013900,0.1451,0.3057,0.02567,-18238,-0.02147,-71800,938,0.20703,0.84304,26.6,0.6995,0.0,0.40402,0.07704,0.34395,0.08594,0.59598,0.26647,0.56812,0.0474,0.1106,0.38934,2.83,0.11917,0.22643,0.44344,0.0662,0.86418
48201421402,0.53531,0.00713,0.03863,-11019,-0.0,-145634,753,0.45652,0.60877,29.2,0.35559,0.0,0.04465,0.00935,0.92134,0.54947,0.45301,0.18384,0.24927,0.01355,0.14499,1.0,3.05,0.06973,0.47871,0.43215,0.31043,0.86403
48201422800,0.31925,0.25638,0.08996,-18042,-0.02255,-138000,1073,0.31624,0.73077,27.3,0.71356,0.0,0.18788,0.03704,0.57356,0.26221,0.56682,0.25401,0.50883,0.0,0.09066,0.70801,2.95,0.05816,0.37313,0.24316,0.11783,0.86388
48029141800,0.15799,0.41369,0.10837,-17220,-0.01157,-107600,1043,0.28714,0.70258,34.3,0.38178,0.0,0.00722,0.00284,0.65387,0.08569,0.49742,0.16876,0.55224,0.42119,0.1068,0.17551,3.74,0.08004,0.23557,0.16205,0.09311,0.86374
48329001400,0.25314,0.17394,0.05505,-15228,-0.0,-113200,1120,0.43473,0.66991,27.2,0.47936,0.01543,0.09588,0.00857,0.80066,0.12924,0.48843,0.29707,0.47566,0.21266,0.0947,0.44411,3.91,0.0538,0.30409,0.19394,0.11307,0.86359
48061011401,0.18451,0.28287,0.0,-16891,-0.02446,-72500,515,0.32302,0.71899,26.5,0.39695,0.0,0.01035,0.0,0.82895,0.13944,0.50466,0.16361,0.47446,0.2369,0.1096,0.43654,3.69,0.15596,0.2311,0.26435,0.04739,0.86344
48061012202,0.15828,0.26288,0.05309,-19706,-0.00526,-116700,754,0.29047,0.71089,37.5,0.36478,0.03725,0.00057,0.0,0.91175,0.16324,0.48883,0.16299,0.46558,0.1629,0.06673,0.0021,3.52,0.00526,0.16456,0.22001,0.09439,0.8633
48141004007,0.17978,0.45749,0.05958,-24355,-0.01923,-91700,836,0.21108,0.68899,38.9,0.67098,0.0,0.0,0.0,0.98594,0.19704,0.54737,0.27429,0.43557,0.0,0.06351,0.39372,3.02,0.04757,0.34951,0.11519,0.07199,0.86315
48113015202,0.15287,0.19375,0.04276,-23531,-0.07396,-129300,851,0.43372,0.7199,27.0,0.45178,0.0,0.06232,0.0,0.78546,0.24352,0.46835,0.11562,0.38213,0.0,0.13436,0.60521,3.21,0.06771,0.31905,0.1354,0.22268,0.863
48413950300,0.17115,0.41988,0.16374,-24030,-0.0,-80900,400,0.2076,0.81263,36.6,0.04514,0.0,0.01553,0.0,0.53451,0.05257,0.49068,0.03378,0.48902,0.15615,0.31163,0.22008,2.8,0.01737,0.25637,0.18529,0.15664,0.86286
48201323500,0.33415,0.17663,0.10817,-15153,-0.01428,-59400,890,0.37436,0.70387,25.8,0.61409,0.00616,0.13539,0.0,0.73627,0.20527,0.53363,0.29191,0.43656,0.17087,0.11718,0.74564,3.0,0.10999,0.35106,0.18065,0.23312,0.86271
48293970300,0.408,0.35904,0.0433,-17841,-0.04337,-80800,497,0.2531,0.82184,47.7,0.77723,0.0067,0.40134,0.01772,0.20738,0.02573,0.55843,0.19398,0.5686,0.0437,0.13632,0.56265,2.34,0.13012,0.24552,0.35644,0.11881,0.86256
48303010418,0.27195,0.44344,0.02523,-35050,-0.03167,-42900,623,0.27647,0.7792,46.5,0.48649,0.0,0.05882,0.0,0.5422,0.01959,0.5243,0.12217,0.53235,0.56616,0.25963,0.14027,2.65,0.0,0.26343,0.24214,0.06285,0.86242
48215024301,0.19234,0.4133,0.04181,-24486,-0.01425,-220300,488,0.26105,0.73702,49.8,0.19231,0.0,0.0,0.0,0.9166,0.05893,0.47404,0.20903,0.37347,0.21358,0.30298,0.29454,2.79,0.08314,0.31915,0.13962,0.17976,0.86227
48289950302,0.15363,0.58314,0.01778,-26580,-0.02108,-140600,668,0.1785,0.86531,55.4,0.29104,0.0,0.05751,0.0,0.19522,0.01741,0.47367,0.06635,0.38107,0.40421,0.35757,0.1936,2.56,0.01171,0.14905,0.20247,0.14897,0.86212
48113009103,0.29525,0.23814,0.03513,-14912,-0.0,-96000,980,0.42339,0.65007,29.4,0.4838,0.01353,0.24691,0.0,0.69036,0.19981,0.48173,0.26621,0.44074,0.0,0.0,0.46176,3.36,0.09971,0.26158,0.15492,0.27576,0.86198
48201222701,0.52781,0.15906,0.10934,-11824,-0.0,-72800,288,0.44026,0.76725,23.8,0.6152,0.0,0.55986,0.0,0.32933,0.02529,0.58923,0.33567,0.58951,0.0,0.09428,0.78947,2.63,0.3848,0.16733,0.19821,0.03197,0.86183
48113014903,0.13698,0.1938,0.0153,-19591,-0.01637,-144400,992,0.48014,0.62119,31.2,0.37873,0.0068,0.05563,0.03851,0.77095,0.25832,0.47521,0.1068,0.41654,0.01132,0.06144,0.57881,3.42,0.09561,0.37604,0.19449,0.20201,0.86168
48141002201,0.28883,0.35409,0.09454,-24576,-0.07295,-124000,704,0.19682,0.8386,46.9,0.41589,0.00196,0.02674,0.03326,0.85034,0.17659,0.5344,0.16459,0.34563,0.0,0.0832,0.60854,2.57,0.1548,0.24197,0.25653,0.06751,0.86154
48201232100,0.29665,0.13721,0.01818,-13408,-0.00728,-62600,982,0.41772,0.62416,27.2,0.48718,0.0,0.18925,0.0,0.74926,0.26483,0.45736,0.33056,0.39591,0.10765,0.14413,0.48129,3.88,0.06237,0.39241,0.16986,0.21903,0.86139
48375011000,0.20953,0.23708,0.01767,-18009,-0.00674,-68300,743,0.34983,0.7562,34.6,0.19048,0.00336,0.02564,0.00378,0.61665,0.12822,0.53594,0.09663,0.46349,0.01126,0.08905,0.5809,2.67,0.11124,0.21774,0.25608,0.21058,0.86125
48439104605,0.31244,0.38627,0.14163,-16835,-0.00552,-110600,1067,0.28105,0.75344,32.2,0.56798,0.00322,0.43827,0.01858,0.44667,0.12006,0.51242,0.28817,0.45136,0.0,0.14652,0.46842,3.38,0.1214,0.22423,0.20182,0.26591,0.8611
48409011000,0.34777,0.34414,0.1105,-18729,-0.01492,-63800,615,0.27097,0.75909,28.5,0.6097,0.0,0.01399,0.00113,0.78594,0.04011,0.53699,0.26955,0.54684,0.02213,0.12195,0.38066,3.04,0.14043,0.21543,0.25093,0.15724,0.86095
48201311800,0.30006,0.13895,0.0902,-16891,-0.01367,-99200,906,0.39115,0.66545,27.9,0.46643,0.0,0.00559,0.04362,0.87452,0.27729,0.50537,0.14427,0.30722,0.09652,0.13526,0.59757,3.53,0.12604,0.30748,0.1683,0.23317,0.86081
48085032014,0.08038,0.24485,0.0367,-19391,-0.03436,-179600,1224,0.41792,0.63561,22.4,0.65997,0.0015,0.05005,0.0,0.78969,0.28712,0.46167,0.21649,0.42319,0.0,0.05596,0.49399,4.58,0.01546,0.36232,0.3433,0.14748,0.86066
48279950100,0.1591,0.34566,0.04145,-21142,-0.04337,-72300,633,0.29424,0.7591,37.2,0.39394,0.00502,0.00962,0.0,0.73024,0.05372,0.50188,0.09949,0.39024,0.0597,0.2199,0.25383,2.95,0.07143,0.21071,0.13969,0.04878,0.86051
48201421205,0.37562,0.0796,0.04342,-15893,-0.0597,-63663,832,0.50341,0.57871,25.6,0.51732,0.0,0.04642,0.0,0.88202,0.483,0.43316,0.23507,0.33266,0.0,0.17538,1.0,3.56,0.15299,0.55323,0.32927,0.21883,0.86037
48131950200,0.10946,0.33075,0.10198,-21336,-0.0,-66300,698,0.18772,0.82312,31.1,0.34351,0.0,0.00036,0.0,0.76731,0.04529,0.56651,0.17257,0.4839,0.08865,0.25104,0.29204,3.05,0.06858,0.17216,0.28644,0.10339,0.86022
48201313600,0.51579,0.2915,0.17794,-14179,-0.0,-88400,746,0.21089,0.85575,30.5,0.32658,0.0,0.6163,0.00574,0.3256,0.06468,0.5814,0.14318,0.56338,0.00404,0.11465,0.61951,2.58,0.30006,0.23879,0.38325,0.1401,0.86007
48201252602,0.23333,0.23979,0.13093,-26317,-0.06255,-140900,931,0.40434,0.63098,24.4,0.62162,0.0,0.0,0.0,0.76512,0.21398,0.50415,0.25891,0.39737,0.40029,0.16835,0.26412,3.56,0.01477,0.41854,0.18245,0.13683,0.85993
48139060104,0.16094,0.13235,0.07221,-20776,-0.00619,-106500,1029,0.32388,0.76557,28.2,0.28418,0.0,0.09875,0.0,0.61617,0.10467,0.55344,0.16718,0.45522,0.31441,0.05968,0.26935,3.33,0.01238,0.24001,0.10341,0.20203,0.85978
48061010700,0.17198,0.33304,0.08743,-19740,-0.0218,-87700,566,0.25472,0.73609,36.6,0.77092,0.0,0.0,0.0,0.85821,0.17039,0.52985,0.30078,0.45289,0.01365,0.07871,0.43766,2.57,0.07236,0.31038,0.40776,0.04751,0.85963
48201254100,0.17942,0.33314,0.06702,-18003,-0.0,-87500,921,0.38615,0.69354,30.5,0.43699,0.0,0.13176,0.0,0.62463,0.15076,0.49248,0.20094,0.42293,0.07568,0.08642,0.53525,2.96,0.17333,0.29937,0.16413,0.14462,0.85949
48303010602,0.15434,0.38048,0.15753,-15812,-0.0,-28800,481,0.18082,0.72801,44.2,0.81356,0.0,0.0,0.0,0.65353,0.01075,0.60604,0.27298,0.26504,0.25971,0.14199,0.27723,2.62,0.08204,0.21749,0.21789,0.0,0.85934
48253020200,0.10816,0.4601,0.00898,-22901,-0.03316,-66800,703,0.18701,0.86723,43.1,0.20388,0.0,0.02495,0.0,0.36723,0.03487,0.54614,0.09534,0.51529,0.04173,0.21031,0.21036,2.07,0.04145,0.09264,0.2786,0.11325,0.85919
48201321402,0.1005,0.14469,0.08528,-20590,-0.01497,-133600,1178,0.43419,0.65778,29.0,0.24192,0.0,0.0,0.00099,0.91191,0.14343,0.47624,0.04205,0.4059,0.0,0.08659,0.34498,3.58,0.01212,0.39431,0.20382,0.17953,0.85905
48201533402,0.12057,0.1495,0.08374,-17725,-0.00616,-147000,1098,0.35607,0.63578,30.7,0.27732,0.0,0.17226,0.07817,0.69283,0.31248,0.52183,0.14894,0.32381,0.10409,0.05151,0.23572,3.55,0.08511,0.31931,0.23731,0.16698,0.8589
48141003501,0.41288,0.37283,0.05508,-14631,-0.0,-88800,656,0.27481,0.71163,31.0,0.60183,0.0,0.0,0.0,0.93269,0.21347,0.47832,0.21458,0.48924,0.02983,0.05259,0.55924,3.11,0.07539,0.3179,0.28938,0.02082,0.85875
48201233703,0.09719,0.26048,0.17793,-19825,-0.0,-88600,934,0.38821,0.59152,32.9,0.07547,0.00183,0.02996,0.0,0.84984,0.22964,0.46255,0.07624,0.38813,0.03704,0.0284,0.25032,3.48,0.02795,0.42455,0.12146,0.16804,0.85861
48135001900,0.15475,0.25918,0.13445,-23341,-0.00663,-59400,1062,0.47168,0.71983,27.6,0.66549,0.0,0.12678,0.00424,0.8561,0.13511,0.43339,0.37245,0.49194,0.16031,0.1099,0.30255,3.01,0.1699,0.18169,0.20724,0.13842,0.85846
48201230600,0.29349,0.34501,0.14597,-14453,-0.01699,-81700,935,0.38321,0.69644,37.4,0.54144,0.0,0.64708,0.0,0.34654,0.09476,0.49664,0.25265,0.4666,0.02058,0.1188,0.38004,3.16,0.11677,0.21659,0.3055,0.09136,0.85832
48061013004,0.13915,0.39734,0.0708,-23688,-0.03986,-87100,752,0.19694,0.83752,38.4,0.38889,0.0,0.0,0.00264,0.87098,0.10079,0.53677,0.23913,0.42222,0.01919,0.06546,0.42512,2.74,0.16184,0.16821,0.18942,0.01693,0.85817
48113002703,0.17861,0.28649,0.095,-15324,-0.00246,-64200,817,0.29188,0.80681,32.2,0.57338,0.0,0.66209,0.02084,0.31079,0.10604,0.56634,0.27912,0.51849,0.03378,0.12997,0.6398,2.9,0.24226,0.18728,0.34424,0.10752,0.85802
48141010220,0.24609,0.28895,0.02067,-18621,-0.00939,-132800,828,0.34644,0.69638,34.2,0.35061,0.0,0.00763,0.01172,0.84801,0.25887,0.46005,0.14309,0.40244,0.15264,0.08816,0.23591,3.11,0.05249,0.21033,0.24109,0.05019,0.85788
48419950300,0.17164,0.40734,0.06712,-25372,-0.04098,-78800,627,0.25309,0.7614,41.3,0.24809,0.0,0.09336,0.0,0.30044,0.1305,0.51237,0.0844,0.37337,0.39622,0.11622,0.16453,2.48,0.0055,0.26141,0.11445,0.13824,0.85773
48187210400,0.16092,0.40137,0.04968,-22174,-0.0,-180800,947,0.17458,0.89792,36.9,0.375,0.00083,0.04396,0.0,0.43542,0.04708,0.5775,0.14997,0.55201,0.0,0.08797,0.45053,2.8,0.06783,0.15013,0.21275,0.03816,0.85758
48109950300,0.32277,0.30689,0.09268,-16353,-0.0,-63700,594,0.34605,0.69537,37.2,0.64205,0.02565,0.00137,0.00733,0.83188,0.0857,0.44572,0.19311,0.37097,0.19865,0.35583,0.33832,3.22,0.07485,0.26722,0.27742,0.13763,0.85744
48499950401,0.09399,0.65116,0.0,-22555,-0.00274,-122200,585,0.36376,0.71393,35.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.44134,0.0,0.4088,0.17787,0.24405,0.34473,2.74,0.05882,0.30954,0.21604,0.05045,0.85729
48375014100,0.24713,0.22484,0.00541,-15469,-0.0,-48800,973,0.2684,0.70649,29.1,0.30612,0.0,0.1445,0.0,0.59278,0.13118,0.5275,0.14783,0.49619,0.50717,0.11246,0.19006,3.03,0.04099,0.37233,0.20566,0.15343,0.85714
48005001102,0.13772,0.55021,0.11436,-23537,-0.01079,-115000,590,0.15957,0.82726,44.9,0.20175,0.0,0.04288,0.0,0.09525,0.0,0.57979,0.21992,0.57057,0.19802,0.14781,0.21743,2.63,0.09212,0.14308,0.16592,0.08258,0.857
48201231200,0.20457,0.42312,0.1509,-17796,-0.00895,-84100,808,0.2072,0.83422,34.7,0.71767,0.0,0.7311,0.0,0.211,0.06937,0.60205,0.38848,0.67717,0.0,0.08315,0.51226,2.69,0.12106,0.15915,0.21363,0.04617,0.85685
48479001105,0.36888,0.20612,0.01162,-14754,-0.01995,-114600,815,0.2756,0.73309,26.2,0.63221,0.0,0.0,0.0,0.961,0.22897,0.53238,0.34441,0.50549,0.05769,0.0359,0.66223,3.72,0.04521,0.2873,0.21552,0.14263,0.8567
48201322100,0.17617,0.1936,0.17122,-15657,-0.0,-77700,1038,0.44877,0.64084,26.7,0.44144,0.0,0.00636,0.0,0.87824,0.15531,0.49812,0.2432,0.35283,0.00824,0.14148,0.6024,3.38,0.0352,0.31347,0.17113,0.20411,0.85656
48423000202,0.30533,0.4094,0.23981,-21469,-0.03087,-84800,843,0.28881,0.78925,37.4,0.4385,0.00384,0.57033,0.00288,0.3639,0.13956,0.53289,0.0698,0.56608,0.02708,0.22396,0.55973,2.77,0.05101,0.23572,0.29551,0.02244,0.85641
48113009001,0.13128,0.07139,0.00545,-17073,-0.01947,-86400,1059,0.33787,0.69098,24.6,0.33507,0.0,0.20279,0.0,0.71888,0.178,0.57206,0.27906,0.39481,0.0,0.09552,0.62183,3.72,0.04012,0.42064,0.30168,0.24763,0.85626
48201232704,0.1166,0.53545,0.07773,-22927,-0.02567,-143400,1024,0.25532,0.78959,39.4,0.38636,0.0,0.28874,0.0,0.61346,0.13116,0.52667,0.10269,0.43782,0.00942,0.14346,0.60024,2.89,0.14792,0.14479,0.08016,0.13155,0.85612
48167725200,0.29967,0.2303,0.06397,-17991,-0.01355,-134900,942,0.32779,0.75913,29.1,0.37545,0.0,0.18303,0.0128,0.62447,0.17638,0.56804,0.20443,0.49849,0.0,0.10573,0.76108,2.57,0.13547,0.33902,0.33065,0.1397,0.85597
48141001204,0.29015,0.3228,0.07312,-15844,-0.01001,-110600,733,0.24399,0.76444,32.9,0.53005,0.00237,0.01365,0.0178,0.92979,0.17723,0.53184,0.29015,0.47624,0.0,0.1376,0.495,2.66,0.06898,0.2318,0.31357,0.00931,0.85582
48029140500,0.25656,0.31912,0.06877,-18110,-0.00305,-96100,1107,0.28179,0.76644,32.7,0.798,0.0,0.00596,0.00405,0.80267,0.03138,0.49118,0.30084,0.46363,0.00962,0.09759,0.28484,3.19,0.1051,0.29148,0.27707,0.0472,0.85568
48201541603,0.23577,0.2157,0.06495,-16858,-0.0,-130100,1156,0.39986,0.68573,27.4,0.36827,0.02156,0.07644,0.06624,0.70549,0.13557,0.47192,0.29615,0.4221,0.0,0.12256,0.33119,3.82,0.03406,0.29787,0.27278,0.1063,0.85553
48339692701,0.19243,0.39824,0.02467,-20199,-0.0,-120200,919,0.22039,0.7636,41.7,0.15385,0.0,0.05567,0.0,0.32308,0.04446,0.53813,0.21449,0.43824,0.53895,0.12771,0.12006,2.88,0.01245,0.25928,0.17783,0.09077,0.85538
48439111019,0.08292,0.2189,0.09241,-21535,-0.02224,-142500,1154,0.33004,0.77063,32.4,0.28293,0.0,0.27574,0.13174,0.38644,0.15571,0.53248,0.14246,0.45728,0.0,0.13677,0.27797,3.33,0.03127,0.23079,0.2448,0.08145,0.85524
