TRACT2020,ALAND,AWATER,U202020010,U202020013,U202020020,U202020031,U202020033,U202020040,U202020070,U202021010,U202030020,U202030030,U202033010,U202060021,U202060022,U202060023,U202060024,U202062010,U202065010,U202065015,U202065017,U202070010,U202070030,U202070040,U202070060,U202072010,U202020050,U202081021,U202081022,U202090012,C202010020,C202010030,C202010040,C202020010,C202020020,C202020031,C202020050,C202021010,C202030010,C202033010,C202033020,C202060010,C202062010,C202070010,C202070020,C202070050,C202070055,C202072010,C202081010,C202090011,C202090012,C202090021,C202090022,C202090031,C202090032,C202090091,C202090092,C202091011,C202091012,C202092023,H202010020,H202010030,H202020010,H202020012,H202020020,H202020040,H202021010,H202030011,H202033010,H202033025,H202060010,H202062010,H202070010,H202070020,H202070030,H202070040,H202070070,H202072010,H202072020,H202081011,H202090012,H202090093,H202091012,H202091093,H202092021,SETX,FIPSCNTY,airsite_tract,airsite_name
48091310801,87986110,172067,0.02204,0.40751,0.02241,-59996.0,-0.27527,-500000.0,1367.0,0.01333,0.71583,49.7,0.07794,0.0,0.1057,0.01565,0.18984,0.00228,0.47284,0.0,0.44867,0.05433,0.0,0.01159,2.7,0.00839,0.09134,0.09042,0.04992,18.711,6774.0,2503.0,2503.0,0.032,0.022,0.09,0.091,0.013,0.215,0.021,0.217,0.361,0.002,0.054,0.004,0.0,0.007,0.008,0.137,0.1852,14.6,0.1607,0.1487,0.2047,0.162,0.0,0.0,1.0,1.0,1.0,6774.0,2503.0,0.02204,0.01998,0.02241,500000.0,0.01333,0.32801,0.02117,0.0282,0.36094,0.00228,0.05433,0.00354,0.0,0.01319,0.52058,0.00839,0.00032,0.04475,14.7,0.287,1.0,1.0,1.0,0.0,48091,0.0,
48091310703,74223203,197656,0.07637,0.35623,0.03963,-50460.0,-0.26491,-422100.0,930.0,0.01106,0.70772,45.7,0.03226,0.0,0.00093,0.0004,0.21858,0.00346,0.48421,0.06335,0.437,0.04509,0.07107,0.02592,3.09,0.0,0.03095,0.06757,0.03545,23.282,7503.0,2431.0,2617.0,0.085,0.04,0.098,0.031,0.011,0.186,0.008,0.251,0.247,0.003,0.045,0.0,0.0,0.016,0.0,0.086,0.077,5.7,0.0702,0.0669,0.0918,0.071,0.0,0.0,1.0,1.0,1.0,7503.0,2431.0,0.07637,0.00576,0.03921,422100.0,0.01106,0.28959,0.01111,0.03705,0.24723,0.00346,0.04509,0.0,0.07107,0.03065,0.21475,0.0,0.0067,0.01851,8.0,0.229,1.0,1.0,1.0,0.0,48091,0.0,
48355000500,1181018,0,0.243,0.23038,0.05735,-18964.0,-0.04304,-55000.0,872.0,0.36701,0.63378,29.3,0.61481,0.0,0.35052,0.0,0.6136,0.01925,0.46413,0.23797,0.45866,0.0,0.36901,0.69114,3.39,0.22785,0.43946,0.41186,0.15913,72.938,1338.0,395.0,626.0,0.383,0.057,0.354,0.439,0.367,0.063,0.116,0.245,0.964,0.019,0.0,0.0,0.073,0.172,0.228,0.125,0.8544,77.75,0.8259,0.7414,0.7866,0.6949,5.0,4.0,4.0,4.0,1.0,1338.0,395.0,0.243,0.0557,0.05735,55000.0,0.36701,0.16962,0.21013,0.10688,0.96413,0.01925,0.0,0.0,0.36901,0.71674,0.91693,0.22785,0.08046,0.36456,97.3,0.849,4.0,4.0,1.0,0.0,48355,0.0,
48113018135,2902066,2071406,0.0782,0.17552,0.07571,-34860.0,-0.11075,-204200.0,1507.0,0.07544,0.6915,33.5,0.42811,0.00091,0.10649,0.0665,0.22258,0.00302,0.53405,0.13731,0.53456,0.0,0.02464,0.28756,2.83,0.0,0.15356,0.14536,0.05066,29.641000000000002,4376.0,1544.0,1583.0,0.103,0.076,0.269,0.154,0.075,0.066,0.151,0.311,0.448,0.003,0.0,0.0,0.026,0.01,0.0,0.085,0.3509,23.91,0.3138,0.2342,0.3535,0.2386,2.0,0.0,2.0,1.0,0.0,4376.0,1544.0,0.0782,0.0,0.07571,204200.0,0.07544,0.12889,0.17163,0.09164,0.44813,0.00302,0.0,0.0,0.02464,0.33478,0.79912,0.0,0.0,0.02332,15.299999999999999,0.293,1.0,1.0,1.0,0.0,48113,0.0,
48355002301,1983906,0,0.15324,0.33051,0.07745,-20739.0,-0.0246,-93500.0,1056.0,0.24991,0.67781,40.4,0.3932,0.0,0.01798,0.00253,0.83663,0.03657,0.47948,0.18217,0.40442,0.0,0.05382,0.30822,3.03,0.07071,0.24113,0.24901,0.11458,73.568,3948.0,1301.0,1375.0,0.33,0.077,0.321,0.241,0.25,0.147,0.071,0.194,0.857,0.037,0.0,0.0,0.0,0.034,0.071,0.146,0.7104,57.52,0.663,0.5379,0.7047,0.5656,1.0,0.0,3.0,3.0,1.0,3948.0,1301.0,0.15324,0.02767,0.07745,93500.0,0.24991,0.27825,0.12452,0.05117,0.85714,0.03657,0.0,0.0,0.05382,0.28799,0.99709,0.07071,0.00572,0.17218,71.3,0.621,3.0,3.0,1.0,0.0,48355,0.0,
48355002303,1891797,0,0.1889,0.34448,0.1205,-21772.0,-0.00896,-132300.0,1067.0,0.14458,0.70313,33.3,0.52137,0.0,0.04238,0.0,0.74854,0.02449,0.4892,0.26448,0.49747,0.0,0.03901,0.5397,2.96,0.06149,0.21776,0.28644,0.07402,57.436,4955.0,1675.0,1743.0,0.231,0.121,0.353,0.218,0.145,0.145,0.098,0.258,0.805,0.024,0.0,0.0,0.078,0.041,0.061,0.135,0.8042,65.61,0.7802,0.6331,0.8198,0.6668,2.0,1.0,4.0,3.0,0.0,4955.0,1675.0,0.1889,0.01731,0.1205,132300.0,0.14458,0.24239,0.21851,0.06882,0.80484,0.02449,0.0,0.0,0.03901,0.52412,0.96672,0.06149,0.00878,0.12836,80.5,0.683,4.0,4.0,1.0,0.0,48355,0.0,
48355002304,2598323,0,0.07593,0.17126,0.03191,-21992.0,-0.0,-137800.0,1004.0,0.11542,0.73097,28.6,0.42212,0.00991,0.02867,0.01451,0.80566,0.02345,0.51858,0.24577,0.37434,0.02601,0.1601,0.64683,2.73,0.05709,0.14336,0.18398,0.20099,49.143,5650.0,2067.0,2461.0,0.109,0.032,0.293,0.143,0.115,0.081,0.101,0.32,0.866,0.023,0.026,0.001,0.182,0.052,0.057,0.085,0.7514,62.13999999999999,0.7137,0.5867,0.7836,0.6508,1.0,0.0,4.0,3.0,0.0,5650.0,2067.0,0.07593,0.00919,0.03191,137800.0,0.11542,0.16739,0.17175,0.13186,0.86566,0.02345,0.02601,0.00088,0.1601,0.59858,1.0,0.05709,0.02694,0.09724,80.2,0.681,4.0,4.0,1.0,0.0,48355,0.0,
48427950402,397160013,1022266,0.31257,0.25249,0.12584,-12119.0,-0.01228,-89800.0,549.0,0.51182,0.65722,24.0,0.38153,0.0,0.0,0.0,0.99644,0.2429,0.47412,0.28166,0.3709,0.07672,0.13075,0.19954,4.52,0.11051,0.3063,0.19211,0.17418,96.615,5893.0,1303.0,1499.0,0.553,0.126,0.142,0.306,0.512,0.097,0.214,0.39,0.996,0.243,0.077,0.0,0.0,0.084,0.111,0.129,0.9261,91.69,0.9082,0.8989,0.9372,0.931,8.0,7.0,4.0,4.0,1.0,5893.0,1303.0,0.31257,0.12279,0.12584,89800.0,0.51182,0.22256,0.21873,0.0862,0.99644,0.2429,0.07672,0.0,0.13075,0.22959,0.57105,0.11051,0.0,0.28089,90.0,0.758,4.0,4.0,1.0,0.0,48427,0.0,
48427950108,353785299,318795,0.23,0.17206,0.04657,-18169.0,-0.02733,-112400.0,660.0,0.40423,0.63608,27.0,0.24539,0.0,0.0,0.0,0.9892,0.23046,0.49348,0.15385,0.44183,0.20569,0.19675,0.09312,4.5,0.05364,0.38327,0.17851,0.12611,92.469,4446.0,988.0,1230.0,0.279,0.047,0.139,0.383,0.404,0.04,0.114,0.375,0.989,0.23,0.206,0.0,0.014,0.112,0.054,0.083,0.8287,79.32000000000001,0.7929,0.7503,0.8351,0.7938,6.0,5.0,4.0,4.0,1.0,4446.0,988.0,0.23,0.02227,0.04657,112400.0,0.40423,0.1164,0.13462,0.10211,0.9892,0.23046,0.20569,0.0,0.19675,0.07467,0.57805,0.05364,0.01136,0.30263,77.7,0.664,4.0,4.0,1.0,0.0,48427,0.0,
48427950106,11443817,318334,0.26074,0.31443,0.04039,-14893.0,-0.0,-73600.0,573.0,0.5126,0.80716,29.6,0.39889,0.0,0.0,0.0,0.92636,0.27896,0.52006,0.28853,0.51052,0.04699,0.11366,0.31443,4.3,0.07645,0.27822,0.2915,0.09041,99.033,3490.0,811.0,915.0,0.422,0.04,0.127,0.278,0.513,0.172,0.137,0.282,0.937,0.279,0.047,0.0,0.0,0.174,0.076,0.2,0.9028,86.72999999999999,0.8868,0.8557,0.9092,0.8724,5.0,3.0,4.0,4.0,1.0,3490.0,811.0,0.26074,0.07275,0.04039,73600.0,0.5126,0.22318,0.17756,0.11461,0.93725,0.27896,0.04699,0.0,0.11366,0.29169,0.80984,0.07645,0.0,0.35882,87.7,0.739,4.0,4.0,1.0,0.0,48427,0.0,
